"class","method","INSTRUMENTATION","ASPECTJ","DOCUMENTATION","DOC_ASPECTJ","DOC_BYTEBUDDY","ARCHUNIT","WALA"
"java.awt.Desktop","browse","EXECUTE","EXECUTE","EXECUTE","YES","YES",TRUE,TRUE
"java.awt.Desktop","browseFileDirectory","EXECUTE","EXECUTE","EXECUTE","YES","YES",TRUE,TRUE
"java.awt.Desktop","edit","EXECUTE","EXECUTE","EXECUTE","YES","YES",TRUE,TRUE
"java.awt.Desktop","mail","EXECUTE","EXECUTE","EXECUTE","YES","YES",TRUE,TRUE
"java.awt.Desktop","moveToTrash","DELETE","DELETE","DELETE","YES","YES",TRUE,TRUE
"java.awt.Desktop","open","EXECUTE","EXECUTE","EXECUTE","YES","YES",TRUE,TRUE
"java.awt.Desktop","openHelpViewer","EXECUTE","EXECUTE","EXECUTE","YES","YES",TRUE,TRUE
"java.awt.Desktop","print","EXECUTE","EXECUTE","EXECUTE","YES","YES",TRUE,TRUE
"java.awt.Desktop","setDefaultMenuBar","EXECUTE","EXECUTE","EXECUTE","YES","YES",TRUE,TRUE
"java.awt.Desktop","setOpenFileHandler","EXECUTE","EXECUTE","EXECUTE","YES","YES",TRUE,TRUE
"java.awt.Desktop","setOpenURIHandler","EXECUTE","EXECUTE","EXECUTE","YES","YES",TRUE,TRUE
"java.awt.Font","createFont","READ","READ","READ","YES","YES",TRUE,TRUE
"java.awt.Font","createFonts","READ","READ","READ","YES","YES",TRUE,TRUE
"java.awt.Toolkit","createImage","READ","READ","READ","YES","YES",TRUE,TRUE
"java.awt.Toolkit","getImage","READ","READ","READ","YES","YES",TRUE,TRUE
"java.io.BufferedInputStream","<init>","READ","READ","READ","YES","YES",TRUE,TRUE
"java.io.BufferedOutputStream","<init>","OVERWRITE,CREATE","OVERWRITE,CREATE","OVERWRITE,CREATE","YES","YES",TRUE,TRUE
"java.io.BufferedWriter","<init>","CREATE","CREATE","CREATE","YES","YES",TRUE,TRUE
"java.io.DataInput","read","READ","READ","READ","YES","YES",TRUE,TRUE
"java.io.DataInput","readBoolean","READ","READ","READ","YES","YES",TRUE,TRUE
"java.io.DataInput","readByte","READ","READ","READ","YES","YES",TRUE,TRUE
"java.io.DataInput","readChar","READ","READ","READ","YES","YES",TRUE,TRUE
"java.io.DataInput","readDouble","READ","READ","READ","YES","YES",TRUE,TRUE
"java.io.DataInput","readFloat","READ","READ","READ","YES","YES",TRUE,TRUE
"java.io.DataInput","readFully","READ","READ","READ","YES","YES",TRUE,TRUE
"java.io.DataInput","readInt","READ","READ","READ","YES","YES",TRUE,TRUE
"java.io.DataInput","readLine","READ","READ","READ","YES","YES",TRUE,TRUE
"java.io.DataInput","readLong","READ","READ","READ","YES","YES",TRUE,TRUE
"java.io.DataInput","readShort","READ","READ","READ","YES","YES",TRUE,TRUE
"java.io.DataInput","readUnsignedByte","READ","READ","READ","YES","YES",TRUE,TRUE
"java.io.DataInput","readUnsignedShort","READ","READ","READ","YES","YES",TRUE,TRUE
"java.io.DataInput","readUTF","READ","READ","READ","YES","YES",TRUE,TRUE
"java.io.DataInputStream","<init>","READ","READ","READ","YES","YES",TRUE,TRUE
"java.io.DataOutput","writeBoolean","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.io.DataOutput","writeByte","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.io.DataOutput","writeBytes","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.io.DataOutput","writeChar","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.io.DataOutput","writeChars","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.io.DataOutput","writeDouble","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.io.DataOutput","writeFloat","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.io.DataOutput","writeInt","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.io.DataOutput","writeLong","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.io.DataOutput","writeShort","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.io.DataOutput","writeUTF","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.io.DataOutputStream","<init>","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.io.File","createNewFile","CREATE","CREATE","CREATE","YES","YES",TRUE,TRUE
"java.io.File","createTempFile","CREATE","CREATE","CREATE","YES","YES",TRUE,TRUE
